"Year","Sport","N","Players"
1984,"Hockey",2,"Mark Messier, Wayne Gretzky"
1984,"Soccer",1,"Diego Maradona"
1984,"Swimming",2,"Matt Biondi, Rowdy Gaines"
1984,"Tennis",0,NA
1985,"Baseball",0,NA
1985,"Basketball",3,"John Stockton, Kareem Abdul-Jabbar, Michael Jordan"
1985,"Chess",1,"Garry Kasparov"
1985,"Cricket",0,NA
1985,"Football",2,"Jerry Rice, Lawrence Taylor"
1985,"Golf",1,"Jack Nicklaus"
1985,"Hockey",2,"Mark Messier, Wayne Gretzky"
1985,"Soccer",1,"Diego Maradona"
1985,"Swimming",1,"Matt Biondi"
1985,"Tennis",0,NA
1986,"Baseball",1,"Barry Bonds"
1986,"Basketball",3,"John Stockton, Kareem Abdul-Jabbar, Michael Jordan"
1986,"Chess",1,"Garry Kasparov"
1986,"Cricket",0,NA
1986,"Football",2,"Jerry Rice, Lawrence Taylor"
1986,"Golf",1,"Jack Nicklaus"
1986,"Hockey",2,"Mark Messier, Wayne Gretzky"
1986,"Soccer",1,"Diego Maradona"
1986,"Swimming",1,"Matt Biondi"
1986,"Tennis",0,NA
1987,"Baseball",1,"Barry Bonds"
1987,"Basketball",3,"John Stockton, Kareem Abdul-Jabbar, Michael Jordan"
1987,"Chess",1,"Garry Kasparov"
1987,"Cricket",0,NA
1987,"Football",2,"Jerry Rice, Lawrence Taylor"
1987,"Golf",0,NA
1987,"Hockey",2,"Mark Messier, Wayne Gretzky"
1987,"Soccer",1,"Diego Maradona"
1987,"Swimming",1,"Matt Biondi"
1987,"Tennis",0,NA
1988,"Baseball",1,"Barry Bonds"
1988,"Basketball",3,"John Stockton, Kareem Abdul-Jabbar, Michael Jordan"
1988,"Chess",1,"Garry Kasparov"
1988,"Cricket",0,NA
1988,"Football",2,"Jerry Rice, Lawrence Taylor"
1988,"Golf",0,NA
1988,"Hockey",2,"Mark Messier, Wayne Gretzky"
1988,"Soccer",1,"Diego Maradona"
1988,"Swimming",1,"Matt Biondi"
1988,"Tennis",1,"Pete Sampras"
1989,"Baseball",1,"Barry Bonds"
1989,"Basketball",3,"John Stockton, Kareem Abdul-Jabbar, Michael Jordan"
1989,"Chess",1,"Garry Kasparov"
1989,"Cricket",0,NA
1989,"Football",2,"Jerry Rice, Lawrence Taylor"
1989,"Golf",0,NA
1989,"Hockey",2,"Mark Messier, Wayne Gretzky"
1989,"Soccer",1,"Diego Maradona"
1989,"Swimming",1,"Matt Biondi"
1989,"Tennis",1,"Pete Sampras"
1990,"Baseball",1,"Barry Bonds"
1990,"Basketball",2,"John Stockton, Michael Jordan"
1990,"Chess",1,"Garry Kasparov"
1990,"Cricket",0,NA
1990,"Football",2,"Jerry Rice, Lawrence Taylor"
1990,"Golf",0,NA
1990,"Hockey",2,"Mark Messier, Wayne Gretzky"
1990,"Soccer",1,"Diego Maradona"
1990,"Swimming",2,"Alexander Popov, Matt Biondi"
1990,"Tennis",1,"Pete Sampras"
1991,"Baseball",1,"Barry Bonds"
1991,"Basketball",2,"John Stockton, Michael Jordan"
1991,"Chess",1,"Garry Kasparov"
1991,"Cricket",0,NA
1991,"Football",3,"Brett Favre, Jerry Rice, Lawrence Taylor"
1991,"Golf",0,NA
1991,"Hockey",2,"Mark Messier, Wayne Gretzky"
1991,"Soccer",1,"Diego Maradona"
1991,"Swimming",2,"Alexander Popov, Matt Biondi"
1991,"Tennis",1,"Pete Sampras"
1992,"Baseball",1,"Barry Bonds"
1992,"Basketball",2,"John Stockton, Michael Jordan"
1992,"Chess",2,"Bobby Fischer, Garry Kasparov"
1992,"Cricket",0,NA
1992,"Football",3,"Brett Favre, Jerry Rice, Lawrence Taylor"
1992,"Golf",0,NA
1992,"Hockey",2,"Mark Messier, Wayne Gretzky"
1992,"Soccer",1,"Diego Maradona"
1992,"Swimming",2,"Alexander Popov, Matt Biondi"
1992,"Tennis",1,"Pete Sampras"
1993,"Baseball",1,"Barry Bonds"
1993,"Basketball",2,"John Stockton, Michael Jordan"
1993,"Chess",1,"Garry Kasparov"
1993,"Cricket",0,NA
1993,"Football",3,"Brett Favre, Jerry Rice, Lawrence Taylor"
1993,"Golf",0,NA
1993,"Hockey",2,"Mark Messier, Wayne Gretzky"
1993,"Soccer",1,"Diego Maradona"
1993,"Swimming",2,"Alexander Popov, Pieter Van Den Hoogenband"
1993,"Tennis",1,"Pete Sampras"
1994,"Baseball",1,"Barry Bonds"
1994,"Basketball",1,"John Stockton"
1994,"Chess",1,"Garry Kasparov"
1994,"Cricket",0,NA
1994,"Football",2,"Brett Favre, Jerry Rice"
1994,"Golf",0,NA
1994,"Hockey",2,"Mark Messier, Wayne Gretzky"
1994,"Soccer",1,"Diego Maradona"
1994,"Swimming",2,"Alexander Popov, Pieter Van Den Hoogenband"
1994,"Tennis",1,"Pete Sampras"
1995,"Baseball",1,"Barry Bonds"
1995,"Basketball",2,"John Stockton, Michael Jordan"
1995,"Chess",1,"Garry Kasparov"
1995,"Cricket",0,NA
1995,"Football",2,"Brett Favre, Jerry Rice"
1995,"Golf",0,NA
1995,"Hockey",2,"Mark Messier, Wayne Gretzky"
1995,"Soccer",1,"Diego Maradona"
1995,"Swimming",2,"Alexander Popov, Pieter Van Den Hoogenband"
1995,"Tennis",1,"Pete Sampras"
1996,"Baseball",1,"Barry Bonds"
1996,"Basketball",2,"John Stockton, Michael Jordan"
1996,"Chess",1,"Garry Kasparov"
1996,"Cricket",0,NA
1996,"Football",2,"Brett Favre, Jerry Rice"
1996,"Golf",0,NA
1996,"Hockey",2,"Mark Messier, Wayne Gretzky"
1996,"Soccer",1,"Diego Maradona"
1996,"Swimming",2,"Alexander Popov, Pieter Van Den Hoogenband"
1996,"Tennis",1,"Pete Sampras"
1997,"Baseball",1,"Barry Bonds"
1997,"Basketball",2,"John Stockton, Michael Jordan"
1997,"Chess",1,"Garry Kasparov"
1997,"Cricket",0,NA
1997,"Football",2,"Brett Favre, Jerry Rice"
1997,"Golf",1,"Tiger Woods"
1997,"Hockey",2,"Mark Messier, Wayne Gretzky"
1997,"Soccer",1,"Diego Maradona"
1997,"Swimming",2,"Alexander Popov, Pieter Van Den Hoogenband"
1997,"Tennis",1,"Pete Sampras"
1998,"Baseball",1,"Barry Bonds"
1998,"Basketball",2,"John Stockton, Michael Jordan"
1998,"Chess",1,"Garry Kasparov"
1998,"Cricket",0,NA
1998,"Football",3,"Brett Favre, Jerry Rice, Peyton Manning"
1998,"Golf",1,"Tiger Woods"
1998,"Hockey",2,"Mark Messier, Wayne Gretzky"
1998,"Soccer",0,NA
1998,"Swimming",2,"Alexander Popov, Pieter Van Den Hoogenband"
1998,"Tennis",2,"Pete Sampras, Roger Federer"
1999,"Baseball",1,"Barry Bonds"
1999,"Basketball",1,"John Stockton"
1999,"Chess",1,"Garry Kasparov"
1999,"Cricket",0,NA
1999,"Football",3,"Brett Favre, Jerry Rice, Peyton Manning"
1999,"Golf",1,"Tiger Woods"
1999,"Hockey",2,"Mark Messier, Wayne Gretzky"
1999,"Soccer",0,NA
1999,"Swimming",2,"Alexander Popov, Pieter Van Den Hoogenband"
1999,"Tennis",2,"Pete Sampras, Roger Federer"
2000,"Baseball",1,"Barry Bonds"
2000,"Basketball",1,"John Stockton"
2000,"Chess",1,"Garry Kasparov"
2000,"Cricket",0,NA
2000,"Football",4,"Brett Favre, Jerry Rice, Peyton Manning, Tom Brady"
2000,"Golf",1,"Tiger Woods"
2000,"Hockey",1,"Mark Messier"
2000,"Soccer",0,NA
