"Player","Year","Sport"
"Cy Young",1903,"Baseball"
"Cy Young",1904,"Baseball"
"Cy Young",1905,"Baseball"
"Cy Young",1906,"Baseball"
"Cy Young",1907,"Baseball"
"Cy Young",1908,"Baseball"
"Cy Young",1909,"Baseball"
"Cy Young",1910,"Baseball"
"Cy Young",1911,"Baseball"
"Honus Wagner",1897,"Baseball"
"Honus Wagner",1898,"Baseball"
"Honus Wagner",1899,"Baseball"
"Honus Wagner",1900,"Baseball"
"Honus Wagner",1901,"Baseball"
"Honus Wagner",1902,"Baseball"
"Honus Wagner",1903,"Baseball"
"Honus Wagner",1904,"Baseball"
"Honus Wagner",1905,"Baseball"
"Honus Wagner",1906,"Baseball"
"Honus Wagner",1907,"Baseball"
"Honus Wagner",1908,"Baseball"
"Honus Wagner",1909,"Baseball"
"Honus Wagner",1910,"Baseball"
"Honus Wagner",1911,"Baseball"
"Honus Wagner",1912,"Baseball"
"Honus Wagner",1913,"Baseball"
"Honus Wagner",1914,"Baseball"
"Honus Wagner",1915,"Baseball"
"Honus Wagner",1916,"Baseball"
"Honus Wagner",1917,"Baseball"
"Ty Cobb",1905,"Baseball"
"Ty Cobb",1906,"Baseball"
"Ty Cobb",1907,"Baseball"
"Ty Cobb",1908,"Baseball"
"Ty Cobb",1909,"Baseball"
"Ty Cobb",1910,"Baseball"
"Ty Cobb",1911,"Baseball"
"Ty Cobb",1912,"Baseball"
"Ty Cobb",1913,"Baseball"
"Ty Cobb",1914,"Baseball"
"Ty Cobb",1915,"Baseball"
"Ty Cobb",1916,"Baseball"
"Ty Cobb",1917,"Baseball"
"Ty Cobb",1918,"Baseball"
"Ty Cobb",1919,"Baseball"
"Ty Cobb",1920,"Baseball"
"Ty Cobb",1921,"Baseball"
"Ty Cobb",1922,"Baseball"
"Ty Cobb",1923,"Baseball"
"Ty Cobb",1924,"Baseball"
"Ty Cobb",1925,"Baseball"
"Ty Cobb",1926,"Baseball"
"Ty Cobb",1927,"Baseball"
"Ty Cobb",1928,"Baseball"
"Barry Bonds",1986,"Baseball"
"Barry Bonds",1987,"Baseball"
"Barry Bonds",1988,"Baseball"
"Barry Bonds",1989,"Baseball"
"Barry Bonds",1990,"Baseball"
"Barry Bonds",1991,"Baseball"
"Barry Bonds",1992,"Baseball"
"Barry Bonds",1993,"Baseball"
"Barry Bonds",1994,"Baseball"
"Barry Bonds",1995,"Baseball"
"Barry Bonds",1996,"Baseball"
"Barry Bonds",1997,"Baseball"
"Barry Bonds",1998,"Baseball"
"Barry Bonds",1999,"Baseball"
"Barry Bonds",2000,"Baseball"
"Barry Bonds",2001,"Baseball"
"Barry Bonds",2002,"Baseball"
"Barry Bonds",2003,"Baseball"
"Barry Bonds",2004,"Baseball"
"Barry Bonds",2005,"Baseball"
"Barry Bonds",2006,"Baseball"
"Barry Bonds",2007,"Baseball"
"Joe DiMaggio",1936,"Baseball"
"Joe DiMaggio",1937,"Baseball"
"Joe DiMaggio",1938,"Baseball"
"Joe DiMaggio",1939,"Baseball"
"Joe DiMaggio",1940,"Baseball"
"Joe DiMaggio",1941,"Baseball"
"Joe DiMaggio",1942,"Baseball"
"Joe DiMaggio",1943,"Baseball"
"Joe DiMaggio",1944,"Baseball"
"Joe DiMaggio",1945,"Baseball"
"Joe DiMaggio",1946,"Baseball"
"Joe DiMaggio",1947,"Baseball"
"Joe DiMaggio",1948,"Baseball"
"Joe DiMaggio",1949,"Baseball"
"Joe DiMaggio",1950,"Baseball"
"Joe DiMaggio",1951,"Baseball"
"Lou Gehrig",1923,"Baseball"
"Lou Gehrig",1924,"Baseball"
"Lou Gehrig",1925,"Baseball"
"Lou Gehrig",1926,"Baseball"
"Lou Gehrig",1927,"Baseball"
"Lou Gehrig",1928,"Baseball"
"Lou Gehrig",1929,"Baseball"
"Lou Gehrig",1930,"Baseball"
"Lou Gehrig",1931,"Baseball"
"Lou Gehrig",1932,"Baseball"
"Lou Gehrig",1933,"Baseball"
"Lou Gehrig",1934,"Baseball"
"Lou Gehrig",1935,"Baseball"
"Lou Gehrig",1936,"Baseball"
"Lou Gehrig",1937,"Baseball"
"Lou Gehrig",1938,"Baseball"
"Lou Gehrig",1939,"Baseball"
"Stan Musial",1941,"Baseball"
"Stan Musial",1942,"Baseball"
"Stan Musial",1943,"Baseball"
"Stan Musial",1944,"Baseball"
"Stan Musial",1945,"Baseball"
"Stan Musial",1946,"Baseball"
"Stan Musial",1947,"Baseball"
"Stan Musial",1948,"Baseball"
"Stan Musial",1949,"Baseball"
